[Wed Feb 04 10:02:25.138183 2026] [php:notice] [pid 5348:tid 1896] [client ::1:51349]   --> Total Payments: 1890.05, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:25.138183 2026] [php:notice] [pid 5348:tid 1896] [client ::1:51349]   --> Total Charges: 2288.95, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:25.138183 2026] [php:notice] [pid 5348:tid 1896] [client ::1:51349]   --> Current paid_status: Unpaid, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:25.138183 2026] [php:notice] [pid 5348:tid 1896] [client ::1:51349]   --> Condition check: totalPayments >= totalCharges ? NO, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:25.138729 2026] [php:notice] [pid 5348:tid 1896] [client ::1:51349]   --> totalCharges > 0 ? YES, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:25.138729 2026] [php:notice] [pid 5348:tid 1896] [client ::1:51349]   --> currentPaidStatus !== 'Paid' ? YES, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:25.201213 2026] [php:notice] [pid 5348:tid 1924] [client ::1:58455] === PAID_STATUS AUTO-UPDATE DEBUG for Booking ID: 1121 ===, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:25.201213 2026] [php:notice] [pid 5348:tid 1924] [client ::1:58455]   deposit: 1890.05, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:25.201213 2026] [php:notice] [pid 5348:tid 1924] [client ::1:58455]   downpayment_amount: 0.00, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:25.201213 2026] [php:notice] [pid 5348:tid 1924] [client ::1:58455]   total_amount: 2288.95, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:25.201746 2026] [php:notice] [pid 5348:tid 1924] [client ::1:58455]   missing_items_fees: 0.00, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:25.201746 2026] [php:notice] [pid 5348:tid 1924] [client ::1:58455]   penalty_amount: 0.00, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:25.201746 2026] [php:notice] [pid 5348:tid 1924] [client ::1:58455]   --> Total Payments: 1890.05, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:25.201746 2026] [php:notice] [pid 5348:tid 1924] [client ::1:58455]   --> Total Charges: 2288.95, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:25.201746 2026] [php:notice] [pid 5348:tid 1924] [client ::1:58455]   --> Current paid_status: Unpaid, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:25.201746 2026] [php:notice] [pid 5348:tid 1924] [client ::1:58455]   --> Condition check: totalPayments >= totalCharges ? NO, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:25.201746 2026] [php:notice] [pid 5348:tid 1924] [client ::1:58455]   --> totalCharges > 0 ? YES, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:02:25.201746 2026] [php:notice] [pid 5348:tid 1924] [client ::1:58455]   --> currentPaidStatus !== 'Paid' ? YES, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:06.489983 2026] [php:notice] [pid 5348:tid 1924] [client ::1:49830] === PAID_STATUS AUTO-UPDATE DEBUG for Booking ID: 1121 ===, referer: http://localhost:8080/HMS/Booking.html
[Wed Feb 04 10:03:06.489983 2026] [php:notice] [pid 5348:tid 1924] [client ::1:49830]   deposit: 1890.05, referer: http://localhost:8080/HMS/Booking.html
